model,mig,jemmig,dcimig,modularity,sap
vae,0.27989655519042866,0.30022060834725256,0.005045087094414207,0.6046126893690591,0.0448323334931376
betavae,0.18311189899765495,0.20123115504429903,0.0038034916107570205,0.7702635793267905,0.03509922865541873
btcvae,0.1656527251233468,0.18321007318895055,0.004889515778279953,0.7780482344208087,0.02328069304688493
factorvae,0.1177726657940743,0.1261409605573107,0.002854339794234074,0.7625594151372009,0.03498830812748144
