model,mig,jemmig,dcimig,modularity,sap
vae,0.2804102443713216,0.3007149965675349,0.004854873155917805,0.6659231958080453,0.044814469583920616
betavae,0.18279882062607694,0.20029886847996053,0.003992586801241851,0.7532431826895669,0.03503801461843621
btcvae,0.16571942610654733,0.1831364364722318,0.0045167585696432935,0.733626409615609,0.023337127118770506
factorvae,0.11783725517292443,0.12628890363070966,0.0028460431411113513,0.763965392085586,0.035018075420128164
